City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Sao Felix Do Xingu,BR,83.98,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
542,Luorong,CN,75.87,moderate rain,24.41,109.61,荣立大酒店
544,Vanimo,PG,84.4,few clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
546,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
549,Kaliyaganj,IN,79.25,broken clouds,25.63,88.32,Paul lodge &paul telecom
553,Manokwari,ID,81.25,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
560,Katherine,AU,82.4,broken clouds,-14.47,132.27,Pine Tree Motel
567,Winneba,GH,77.0,few clouds,5.35,-0.62,Lagoon Lodge
575,Alexandria,EG,78.12,clear sky,31.22,29.96,Royal Crown Hotel
576,Kefamenanu,ID,76.12,few clouds,-9.45,124.48,PAULUS TAITOH
577,Wanning,CN,80.62,light rain,18.8,110.4,Paradise Hotel
578,Tual,ID,79.3,scattered clouds,-5.67,132.75,Grand Vilia Hotel
580,Ganzhou,CN,84.61,overcast clouds,28.82,115.43,Gold Jiao Hotel
581,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
583,Kudahuvadhoo,MV,82.22,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
584,Semnan,IR,80.6,clear sky,35.57,53.4,Semnan Tourist Hotel
588,Phan Thiet,VN,77.67,overcast clouds,10.93,108.1,Hotel Saigon-PT
591,Misratah,LY,79.23,clear sky,32.38,15.09,فندق الماسة
593,Maningrida,AU,79.05,few clouds,-12.07,134.27,Dhukurrdji Lodge
594,San Javier,ES,75.99,clear sky,37.81,-0.84,Hotel Mar Menor
595,Aldergrove,CA,78.01,broken clouds,49.06,-122.47,Best Western Plus Country Meadows Inn
601,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
605,Vinces,EC,78.8,broken clouds,-1.55,-79.73,Rizz hotel
608,Mana,GF,79.84,light rain,5.66,-53.78,LE SAMANA
610,Portland,US,88.0,broken clouds,45.52,-122.68,Portland Marriott City Center
611,Wahiawa,US,89.6,clear sky,21.5,-158.02,The Inn At Schofield
613,Great Falls,US,87.01,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
615,Tezu,IN,76.62,scattered clouds,27.92,96.17,Circuit House
617,Pandan,PH,80.55,broken clouds,14.05,124.17,Bonifacio Lodge
618,Porto Nacional,BR,82.4,clear sky,-10.71,-48.42,Vila Real Hotel
622,Nagato,JP,84.99,scattered clouds,34.38,131.2,いそう庵
630,Agen,FR,78.01,few clouds,44.2,0.63,Appart'City Agen Centre - Appart Hôtel
633,Umm Lajj,SA,86.95,broken clouds,25.02,37.27,Moon light Furnished Units
635,Alto Araguaia,BR,76.93,clear sky,-17.31,-53.22,Araguaia Palace Hotel
643,Kavaratti,IN,82.06,light rain,10.57,72.64,Bismillah Hotel And Lodging
645,Wewak,PG,83.34,few clouds,-3.55,143.63,In Wewak Boutique Hotel
655,Maturin,VE,76.19,overcast clouds,9.75,-63.18,Residencias Guaritos I
