City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Lamar,US,33.67,-95.58,87.01,48,1,4.7,clear sky
234,Westport,US,41.14,-73.36,69.8,77,1,3.36,clear sky
235,Alghero,IT,40.56,8.32,69.8,94,9,3.36,clear sky
236,Currais Novos,BR,-6.26,-36.52,71.11,66,22,16.31,few clouds
237,Ancud,CL,-41.87,-73.82,43.0,86,20,3.36,few clouds
238,Standerton,ZA,-26.93,29.24,36.0,69,0,5.01,clear sky
239,Carnarvon,AU,-24.87,113.63,60.8,55,92,9.17,overcast clouds
240,Salalah,OM,17.02,54.09,77.0,100,90,6.93,drizzle
241,Tigre,AR,-34.43,-58.58,46.0,65,36,5.82,scattered clouds
242,Santiago Del Estero,AR,-27.8,-64.26,50.97,41,10,10.47,clear sky
243,Upernavik,GL,72.79,-56.15,49.69,73,47,2.66,scattered clouds
244,Sao Joao Da Barra,BR,-21.64,-41.05,74.55,83,0,23.64,clear sky
245,Razdolnoye,RU,43.55,131.92,62.6,82,75,6.71,light intensity shower rain
246,Aksarka,RU,66.56,67.8,51.85,83,2,16.42,clear sky
247,Oranjemund,NA,-28.55,16.43,52.5,70,0,11.56,clear sky
248,Baykit,RU,61.67,96.37,56.68,78,100,3.38,light rain
249,Tiarei,PF,-17.53,-149.33,80.6,65,75,4.7,shower rain
250,Varhaug,NO,58.61,5.65,61.0,99,78,13.91,broken clouds
251,Rio Grande,BR,-32.03,-52.1,48.0,71,23,1.01,few clouds
252,Vila Velha,BR,-20.33,-40.29,77.0,83,40,13.87,scattered clouds
253,Chihuahua,MX,28.5,-106.0,91.4,17,75,10.29,broken clouds
254,Itoman,JP,26.12,127.67,89.6,70,20,6.93,few clouds
255,Iqaluit,CA,63.75,-68.51,46.0,93,90,16.11,overcast clouds
256,Bolshaya Glushitsa,RU,50.24,43.59,64.99,52,91,8.32,overcast clouds
257,Ponta Delgada,PT,37.73,-25.67,64.4,77,40,6.93,scattered clouds
258,Austin,US,30.27,-97.74,96.01,21,40,11.99,scattered clouds
259,Motala,SE,58.54,15.04,60.8,100,75,1.12,mist
260,Nelson Bay,AU,-32.72,152.15,60.01,51,20,26.4,few clouds
261,Evansville,US,37.97,-87.56,77.0,53,1,6.93,clear sky
262,Palmeirais,BR,-5.98,-43.06,76.87,34,93,2.06,overcast clouds
263,Vostok,RU,46.49,135.88,56.57,63,92,5.28,overcast clouds
264,Iquique,CL,-20.22,-70.14,60.8,63,90,11.41,overcast clouds
265,Zhatay,RU,62.16,129.83,53.6,81,40,4.47,scattered clouds
266,Ambulu,ID,-8.35,113.61,75.54,82,77,3.18,broken clouds
267,San Quintin,MX,30.48,-115.95,80.47,59,20,10.42,few clouds
268,Lac-Megantic,CA,45.58,-70.88,60.01,100,49,1.99,scattered clouds
269,Tessalit,ML,20.2,1.01,85.12,45,74,11.99,broken clouds
270,Olafsvik,IS,64.89,-23.71,49.24,81,18,5.48,few clouds
271,Katobu,ID,-4.94,122.53,79.09,65,0,4.74,clear sky
272,Arman,RU,59.7,150.17,53.6,88,100,15.35,moderate rain
273,Brae,GB,60.4,-1.35,57.2,100,75,12.75,broken clouds
274,Channel-Port Aux Basques,CA,47.57,-59.14,63.07,85,48,4.38,scattered clouds
275,Togur,RU,58.36,82.83,53.6,96,70,8.59,broken clouds
276,Mizan Teferi,ET,6.98,35.58,63.0,90,99,2.21,overcast clouds
277,Chuy,UY,-33.7,-53.46,42.51,77,26,8.99,scattered clouds
278,Marsh Harbour,BS,26.54,-77.06,84.92,71,91,7.78,overcast clouds
279,Fare,PF,-16.7,-151.02,78.89,76,7,20.56,light rain
280,Pangnirtung,CA,66.15,-65.71,55.72,38,12,2.71,few clouds
281,Methoni,GR,36.82,21.7,80.01,61,0,8.05,clear sky
282,Nishihara,JP,26.18,127.76,89.6,70,40,9.17,haze
283,Dicabisagan,PH,17.08,122.42,80.53,80,100,6.13,overcast clouds
284,Praia,CV,14.92,-23.51,78.8,74,20,9.17,few clouds
285,Lubao,PH,14.92,120.55,81.0,83,75,3.36,broken clouds
286,Damietta,EG,31.42,31.81,75.06,76,0,4.76,clear sky
287,Marsabit,KE,2.33,37.99,63.41,84,89,23.47,overcast clouds
288,Isangel,VU,-19.55,169.27,78.8,69,20,5.82,few clouds
289,Byron Bay,AU,-28.65,153.62,64.99,36,90,24.16,overcast clouds
290,Nyurba,RU,63.28,118.33,51.75,65,21,4.72,few clouds
291,Namatanai,PG,-3.67,152.43,84.4,64,100,5.79,overcast clouds
292,Imbituba,BR,-28.24,-48.67,60.8,82,75,8.05,broken clouds
293,Maumere,ID,-8.62,122.21,78.31,74,45,4.92,scattered clouds
294,Sorland,NO,67.67,12.69,50.72,74,90,9.4,overcast clouds
295,Lima,PE,-12.04,-77.03,60.8,82,90,11.41,overcast clouds
296,Marrakesh,MA,31.63,-8.01,78.8,50,0,6.93,clear sky
